date,time_start,time_end,SEK_per_kWh,EUR_per_kWh,SEK_per_MWh,EUR_per_MWh,currency,bidding_zone,source,retrieved_at
2026-04-06,2026-04-06T00:00:00+02:00,2026-04-06T00:15:00+02:00,0.04534,0.00415,45.34,4.15,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T00:15:00+02:00,2026-04-06T00:30:00+02:00,0.04293,0.00393,42.93,3.93,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T00:30:00+02:00,2026-04-06T00:45:00+02:00,0.02928,0.00268,29.28,2.68,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T00:45:00+02:00,2026-04-06T01:00:00+02:00,0.02895,0.00265,28.95,2.65,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T01:00:00+02:00,2026-04-06T01:15:00+02:00,0.03518,0.00322,35.18,3.22,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T01:15:00+02:00,2026-04-06T01:30:00+02:00,0.02819,0.00258,28.19,2.58,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T01:30:00+02:00,2026-04-06T01:45:00+02:00,0.02065,0.00189,20.65,1.89,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T01:45:00+02:00,2026-04-06T02:00:00+02:00,0.01355,0.00124,13.55,1.24,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T02:00:00+02:00,2026-04-06T02:15:00+02:00,0.02010,0.00184,20.10,1.84,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T02:15:00+02:00,2026-04-06T02:30:00+02:00,0.01661,0.00152,16.61,1.52,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T02:30:00+02:00,2026-04-06T02:45:00+02:00,0.01453,0.00133,14.53,1.33,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T02:45:00+02:00,2026-04-06T03:00:00+02:00,0.01169,0.00107,11.69,1.07,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T03:00:00+02:00,2026-04-06T03:15:00+02:00,0.01814,0.00166,18.14,1.66,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T03:15:00+02:00,2026-04-06T03:30:00+02:00,0.01781,0.00163,17.81,1.63,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T03:30:00+02:00,2026-04-06T03:45:00+02:00,0.01770,0.00162,17.70,1.62,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T03:45:00+02:00,2026-04-06T04:00:00+02:00,0.01803,0.00165,18.03,1.65,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T04:00:00+02:00,2026-04-06T04:15:00+02:00,0.01278,0.00117,12.78,1.17,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T04:15:00+02:00,2026-04-06T04:30:00+02:00,0.01551,0.00142,15.51,1.42,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T04:30:00+02:00,2026-04-06T04:45:00+02:00,0.02108,0.00193,21.08,1.93,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T04:45:00+02:00,2026-04-06T05:00:00+02:00,0.01682,0.00154,16.82,1.54,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T05:00:00+02:00,2026-04-06T05:15:00+02:00,0.02840,0.00260,28.40,2.60,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T05:15:00+02:00,2026-04-06T05:30:00+02:00,0.02884,0.00264,28.84,2.64,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T05:30:00+02:00,2026-04-06T05:45:00+02:00,0.02633,0.00241,26.33,2.41,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T05:45:00+02:00,2026-04-06T06:00:00+02:00,0.02108,0.00193,21.08,1.93,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T06:00:00+02:00,2026-04-06T06:15:00+02:00,0.02851,0.00261,28.51,2.61,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T06:15:00+02:00,2026-04-06T06:30:00+02:00,0.02611,0.00239,26.11,2.39,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T06:30:00+02:00,2026-04-06T06:45:00+02:00,0.02644,0.00242,26.44,2.42,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T06:45:00+02:00,2026-04-06T07:00:00+02:00,0.02098,0.00192,20.98,1.92,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T07:00:00+02:00,2026-04-06T07:15:00+02:00,0.03048,0.00279,30.48,2.79,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T07:15:00+02:00,2026-04-06T07:30:00+02:00,0.02513,0.00230,25.13,2.30,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T07:30:00+02:00,2026-04-06T07:45:00+02:00,0.02480,0.00227,24.80,2.27,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T07:45:00+02:00,2026-04-06T08:00:00+02:00,0.01442,0.00132,14.42,1.32,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
2026-04-06,2026-04-06T08:00:00+02:00,2026-04-06T08:15:00+02:00,0.01606,0.00147,16.06,1.47,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/04-06_SE3.json,2026-09-15T23:04:04.717586+02:00
